id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S1_E1,S1,BigFive,E,İnsanlarla tanışmak bana enerji verir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_E2,S1,BigFive,E,Kalabalık ortamlarda gölgede kalmayı tercih ederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_E3,S1,BigFive,E,Düşüncelerimi yüksek sesle paylaşmaktan çekinmem.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_E4,S1,BigFive,E,Yeni bir gruba girdiğimde genelde susarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_E5,S1,BigFive,E,Canlı ve dışa dönük biri olarak tanımlanırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_A1,S1,BigFive,A,İnsanlar hata yaptığında yargılamadan dinlerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_A2,S1,BigFive,A,Kendi çıkarım için başkalarının önüne geçmekte sakınca görmem.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_A3,S1,BigFive,A,Çatışmalarda önce karşı tarafı anlamaya çalışırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_A4,S1,BigFive,A,İnsanların niyetine kolay güvenmem.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_A5,S1,BigFive,A,İşbirliğini rekabetten daha çok önemserim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
