id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S1_BF_E1,S1_self,BigFive,E,Sosyal ortamlarda enerji toplarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_E2,S1_self,BigFive,E,Yeni insanlarla tanışmak beni heyecanlandırır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_E3,S1_self,BigFive,E,Kalabalık etkinlikler beni yorar.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_BF_E4,S1_self,BigFive,E,Topluluk önünde konuşmaktan keyif alırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_A1,S1_self,BigFive,A,İnsanların bakış açısını anlamaya çalışırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_A2,S1_self,BigFive,A,Anlaşmazlıklarda empati kurarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_A3,S1_self,BigFive,A,Eleştirirken sözlerimi özenle seçerim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_A4,S1_self,BigFive,A,Kendi ihtiyaçlarımı her zaman öne koyarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_BF_C1,S1_self,BigFive,C,Planları önceden yapar ve takip ederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_C2,S1_self,BigFive,C,Detayları gözden kaçırmam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_C3,S1_self,BigFive,C,Son dakika işleri severim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_BF_C4,S1_self,BigFive,C,Söz verdiğim işi vaktinde bitiririm.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_N1,S1_self,BigFive,N,Stresliyken kolayca gerginleşirim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_N2,S1_self,BigFive,N,Eleştirilere karşı hassasım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_N3,S1_self,BigFive,N,Zor durumda soğukkanlı kalırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_BF_N4,S1_self,BigFive,N,Gelecek hakkında sık endişe duyarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_O1,S1_self,BigFive,O,Yeni fikir ve deneyimlere açığım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_O2,S1_self,BigFive,O,Rutini kırmayı severim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_BF_O3,S1_self,BigFive,O,Alışılmış yöntemler dışına çıkmam.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_BF_O4,S1_self,BigFive,O,Sanat/yaratıcılık içeren şeylerden keyif alırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_EI1,S1_self,MBTI,EI,Uzun günün sonunda insanlarla vakit geçirerek toparlarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_EI2,S1_self,MBTI,EI,Kalabalık yerine yalnız kalarak enerji toplarım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_MB_EI3,S1_self,MBTI,EI,Yeni ortamlarda hızlıca kaynaşırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_EI4,S1_self,MBTI,EI,Sessizce gözlemlemeyi tercih ederim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_MB_SN1,S1_self,MBTI,SN,Somut veri ve kanıtlara öncelik veririm.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_SN2,S1_self,MBTI,SN,Gelecek olasılıklarını konuşmayı severim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_MB_SN3,S1_self,MBTI,SN,Mevcut gerçeklere dayanırım.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_SN4,S1_self,MBTI,SN,Soyut kavramlar bana daha çekicidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_MB_TF1,S1_self,MBTI,TF,Karar verirken mantık/tutarlılık benim için önceliklidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_TF2,S1_self,MBTI,TF,Karar verirken duygusal etkiyi gözetirim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_MB_TF3,S1_self,MBTI,TF,Geri bildirimde net/doğrudan olurum.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_TF4,S1_self,MBTI,TF,Geri bildirimde karşı tarafın hissini gözetirim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S1_MB_JP1,S1_self,MBTI,JP,Planlı ve takvimli ilerlemeyi severim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S1_MB_JP2,S1_self,MBTI,JP,Seçenekleri açık tutmayı severim.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
