id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S4_family_1,S4_family,ValuesBoundaries,BOUND,Aile içinde kişisel mahremiyete saygı önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_2,S4_family,ValuesBoundaries,COMM,Zor konuları sakin bir dille konuşabilmeliyiz.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_3,S4_family,ValuesBoundaries,ROLE,Ev içi roller net olmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_4,S4_family,ValuesBoundaries,SUPPORT,Duygusal destek göstermek değerlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_5,S4_family,ValuesBoundaries,BOUND,Özel eşyaları izinsiz kullanmak kabul edilemez.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_6,S4_family,ValuesBoundaries,COMM,Eleştiride kırıcı olmamaya özen gösterilmelidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_7,S4_family,ValuesBoundaries,DECISION,Önemli kararlar ortak alınmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_8,S4_family,ValuesBoundaries,TIME,Aile zamanı için düzenli vakit ayırmak önemlidir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_9,S4_family,ValuesBoundaries,CONFLICT,Gerilimde kısa mola verip yeniden konuşabilmeliyiz.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S4_family_10,S4_family,ValuesBoundaries,RESPECT,Kuşak farkı olsa da saygı korunmalıdır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
