id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S0_AGE,S0_profile,Demographics,Age,Yaşınız (sayı olarak):,Number,,0,,1,
S0_WORK_STATUS,S0_profile,EducationWork,WorkStatus,Şu an çalışma durumunuz:,SingleChoice,Çalışıyorum|Çalışmıyorum|İş arıyorum|Serbest,0,,1,
S0_STUDY_ACTIVE,S0_profile,EducationWork,StudyActive,Öğrenim durumunuz:,SingleChoice,Okuyorum|Okumuyorum,0,,1,
S0_SCHOOL_TYPE,S0_profile,EducationWork,SchoolType,Son/Güncel okul türü:,SingleChoice,Lise|Ön lisans|Lisans (Üniversite)|Yüksek Lisans|Doktora|Diğer,0,,1,Etiket: Okuyorum→Güncel okul; Okumuyorum→Son mezun olunan okul
S0_SCHOOL_FIELD,S0_profile,EducationWork,SchoolField,Bölüm/Alan:,OpenText,,0,,1,Etiket: Okuyorum→Güncel bölüm; Okumuyorum→Son bölüm
S0_REL_STATUS,S0_profile,Relationship,Status,Medeni/İlişki durumunuz:,SingleChoice,Bekâr|İlişkim var|Nişanlı|Evli|Ayrı yaşıyorum|Boşanmış|Diğer,0,,1,
S0_LIVE_WITH,S0_profile,Relationship,Household,Birlikte yaşadıklarım:,MultiSelect,Yalnız|Ailemle|Ev arkadaşı|Partner|Çocuk(lar)|Bakımını üstlendiğim biri,0,,1,
S0_CARE_DUTIES,S0_profile,Relationship,Care,Bakım sorumluluğu:,MultiSelect,Çocuk|Yaşlı yakını|Engelli yakını|Evcil hayvan|Yok,0,,1,
S0_CHRONOTYPE,S0_profile,Relationship,Chronotype,Kronotip:,SingleChoice,Sabah|Akşam|Karışık,0,,1,
S0_TIME_BUDGET_HRS,S0_profile,Relationship,TimeBudget,İlişkilere ayırabildiğiniz zaman (haftalık saat):,Number,,0,,1,
S0_COMM_CHANNELS,S0_profile,Comm,Channels,Tercih ettiğim iletişim kanalı:,MultiSelect,Yüz yüze|Telefon|Yazışma|Sesli mesaj,0,,1,
