id,form,section,test_type,subscale,type,text_en,text_tr,options_en,options_tr,reverse_scored,display_order
S0_MBTI_EI_1,S0_MBTI,MBTI,MBTI,E_I,SingleChoice,How do you recharge after an intense week?,"Yoğun bir haftanın ardında kendinizi nasıl şarj edersiniz?","A) I gain energy by meeting with friends or attending social events.|B) I gain energy by being alone, reading books or thinking in a quiet environment.","A) Arkadaşlarımla buluşarak veya sosyal bir etkinliğe katılarak enerji toplarım.|B) Yalnız kalarak, kitap okuyarak veya sessiz bir ortamda düşünerek enerji toplarım.",false,1
S0_MBTI_EI_2,S0_MBTI,MBTI,MBTI,E_I,SingleChoice,"At a social event or party, you usually...","Bir sosyal etkinlikte veya partide genellikle...","A) Chat with many different people and be at the center of the environment.|B) Prefer to have deep and meaningful conversations with one or two people.","A) Birçok farklı insanla sohbet eder, ortamın merkezinde yer alırım.|B) Bir veya iki kişiyle derin ve anlamlı bir sohbet kurmayı tercih ederim.",false,2
S0_MBTI_EI_3,S0_MBTI,MBTI,MBTI,E_I,SingleChoice,"When working on a project...","Bir proje üzerinde çalışırken...","A) I like to develop my ideas by discussing them with a group and brainstorming.|B) I prefer to think on my own first and clarify my ideas.","A) Fikirlerimi bir grupla tartışarak ve beyin fırtınası yaparak geliştirmeyi severim.|B) Önce kendi başıma düşünüp fikirlerimi netleştirmeyi tercih ederim.",false,3
S0_MBTI_EI_4,S0_MBTI,MBTI,MBTI,E_I,SingleChoice,How does being the center of attention make you feel?,"İlgi odağı olmak sizi nasıl hissettirir?","A) I usually don't feel uncomfortable, sometimes I even enjoy it.|B) It makes me feel tense and uncomfortable, I usually avoid it.","A) Genellikle rahatsız olmam, hatta bazen bundan keyif alabilirim.|B) Beni gergin ve rahatsız hissettirir, genellikle bundan kaçınırım.",false,4
S0_MBTI_EI_5,S0_MBTI,MBTI,MBTI,E_I,SingleChoice,What is your attitude towards people you just met?,"Yeni tanıştığınız insanlara karşı tavrınız nasıldır?","A) I usually start the conversation and easily share information about myself.|B) I usually wait for the other person to ask questions and remain more in a listener position.","A) Genellikle konuşmayı ben başlatırım ve kendim hakkında kolayca bilgi paylaşırım.|B) Genellikle karşımdakinin soru sormasını bekler, daha çok dinleyici konumunda kalırım.",false,5
S0_MBTI_SN_1,S0_MBTI,MBTI,MBTI,S_N,SingleChoice,Which do you prefer when learning something new?,"Yeni bir şey öğrenirken hangisini tercih edersiniz?","A) Focusing on concrete facts, practical applications and clear step-by-step instructions.|B) Focusing on theoretical background, the big picture and understanding connections between ideas.","A) Somut gerçeklere, pratik uygulamalara ve adım adım ilerleyen net talimatlara odaklanmayı.|B) Teorik altyapıya, büyük resme ve fikirler arasındaki bağlantıları anlamaya odaklanmayı.",false,6
S0_MBTI_SN_2,S0_MBTI,MBTI,MBTI,S_N,SingleChoice,When telling someone about an event...,"Bir olayı birine anlatırken...","A) I tend to convey the specific details of the event, who said what and what happened as it is.|B) I tend to tell the impression the event left on me, its meaning and the underlying dynamics.","A) Olayın spesifik detaylarını, kimin ne dediğini ve ne olduğunu olduğu gibi aktarmaya eğilimliyimdir.|B) Olayın bende bıraktığı izlenimi, anlamını ve altında yatan dinamikleri anlatmaya eğilimliyimdir.",false,7
S0_MBTI_SN_3,S0_MBTI,MBTI,MBTI,S_N,SingleChoice,What is your approach when solving problems?,"Problem çözerken yaklaşımınız nedir?","A) I find realistic and applicable solutions using existing and proven methods.|B) I look for innovative and unusual solutions by thinking about possibilities and new options.","A) Mevcut ve kanıtlanmış yöntemleri kullanarak, gerçekçi ve uygulanabilir çözümler bulurum.|B) Olasılıkları ve yeni olasılıkları düşünerek, yenilikçi ve alışılmadık çözümler ararım.",false,8
S0_MBTI_SN_4,S0_MBTI,MBTI,MBTI,S_N,SingleChoice,Which appeals to you more?,"Hangisi size daha çok hitap eder?","A) Mastery lies in the details.|B) Imagination is more important than knowledge.","A) Ayrıntılarda ustalık gizlidir.|B) Hayal gücü, bilgiden daha önemlidir.",false,9
S0_MBTI_SN_5,S0_MBTI,MBTI,MBTI,S_N,SingleChoice,What you generally pay more attention to...,"Genel olarak daha çok dikkat ettiğiniz şey...","A) The concrete facts I see, hear, and touch.|B) My intuitions, instincts and possibilities of where events might lead in the future.","A) Gördüğüm, duyduğum, dokunduğum somut gerçeklerdir.|B) Sezgilerim, içgüdülerim ve olayların gelecekte nereye varabileceğine dair olasılıklardır.",false,10
S0_MBTI_TF_1,S0_MBTI,MBTI,MBTI,T_F,SingleChoice,What weighs more when making an important decision?,"Önemli bir karar verirken ağır basan taraf nedir?","A) Logical analysis, objective criteria and consistency.|B) How the decision will affect people, my personal values and overall harmony.","A) Mantıksal analiz, objektif kriterler ve tutarlılık.|B) Kararın insanları nasıl etkileyeceği, kişisel değerlerim ve genel uyum.",false,11
S0_MBTI_TF_2,S0_MBTI,MBTI,MBTI,T_F,SingleChoice,What is your first reaction when a friend tells you their troubles?,"Bir arkadaşınız derdini anlattığında ilk tepkiniz ne olur?","A) Trying to analyze the problem and offer logical solutions.|B) Making them feel that I understand them and giving emotional support and comfort.","A) Sorunu analiz edip mantıklı çözüm yolları sunmaya çalışmak.|B) Onu anladığımı hissettirip duygusal destek ve teselli vermek.",false,12
S0_MBTI_TF_3,S0_MBTI,MBTI,MBTI,T_F,SingleChoice,Which would be a bigger compliment if said to you?,"Size söylense hangisi daha büyük bir iltifat olurdu?","A) You are a very logical and fair person.|B) You are a very compassionate and understanding person.","A) Sen çok mantıklı ve adil bir insansın.|B) Sen çok şefkatli ve anlayışlı bir insansın.",false,13
S0_MBTI_TF_4,S0_MBTI,MBTI,MBTI,T_F,SingleChoice,When you need to give criticism...,"Bir eleştiri yapmanız gerektiğinde...","A) I prefer to tell the truth as it is, for the sake of being correct and honest.|B) I choose my words carefully and use more diplomatic language to not hurt the other person.","A) Doğru ve dürüst olmak adına, gerçeği olduğu gibi söylemeyi tercih ederim.|B) Karşımdakini kırmamak için sözlerimi dikkatle seçer ve daha diplomatik bir dil kullanırım.",false,14
S0_MBTI_TF_5,S0_MBTI,MBTI,MBTI,T_F,SingleChoice,When a decision needs to be made for the good of a group...,"Bir grubun iyiliği için bir karar alınması gerektiğinde...","A) I focus on what the most correct and effective outcome is, even if some people are not happy with it.|B) I focus on making everyone in the group feel heard and valued, maintaining harmony.","A) En doğru ve etkili sonucun ne olduğuna odaklanırım, bazı kişiler bundan hoşnut olmasa bile.|B) Gruptaki herkesin kendini duyulmuş ve değerli hissetmesini sağlamaya, uyumu korumaya odaklanırım.",false,15
S0_MBTI_JP_1,S0_MBTI,MBTI,MBTI,J_P,SingleChoice,What are your weekend plans usually like?,"Hafta sonu planlarınız genellikle nasıldır?","A) I usually decide beforehand what I'm going to do and like to stick to a plan.|B) I avoid making plans, preferring to do whatever I feel like at the moment and be spontaneous.","A) Genellikle ne yapacağıma önceden karar veririm ve bir plana sadık kalmayı severim.|B) Plan yapmaktan kaçınır, o an canım ne isterse onu yapmayı ve spontane olmayı tercih ederim.",false,16
S0_MBTI_JP_2,S0_MBTI,MBTI,MBTI,J_P,SingleChoice,How do you feel better when doing a job?,"Bir işi yaparken kendinizi nasıl daha iyi hissedersiniz?","A) When I complete the job and cross another item off my list.|B) When options are still open and I have the flexibility to change the course of the work.","A) İşi tamamlayıp, listemden bir maddeyi daha çizdiğimde.|B) Henüz seçenekler açıkken ve işin gidişatını değiştirebilecek esnekliğe sahipken.",false,17
S0_MBTI_JP_3,S0_MBTI,MBTI,MBTI,J_P,SingleChoice,Which word describes you better?,"Sizi daha iyi tanımlayan kelime hangisi?","A) Organized|B) Flexible","A) Düzenli|B) Esnek",false,18
S0_MBTI_JP_4,S0_MBTI,MBTI,MBTI,J_P,SingleChoice,What do you think about deadlines?,"Son teslim tarihleri (deadline) hakkında ne düşünürsünüz?","A) They are useful and motivating tools that help me finish work on time.|B) They are unnecessary sources of stress that restrict creativity and flexibility.","A) İşleri zamanında bitirmemi sağlayan, faydalı ve motive edici araçlardır.|B) Yaratıcılığı ve esnekliği kısıtlayan, gereksiz birer stres kaynağıdır.",false,19
S0_MBTI_JP_5,S0_MBTI,MBTI,MBTI,J_P,SingleChoice,When going on a trip...,"Bir seyahate çıkarken...","A) I like to plan and organize in advance the places I'll go, the hotel I'll stay at, and the activities I'll do.|B) I just set a general route, leaving the rest of the details to flow during the journey.","A) Gideceğim yerleri, kalacağım oteli ve yapacağım aktiviteleri önceden planlamayı ve organize etmeyi severim.|B) Sadece genel bir rota belirler, geri kalan detayları yolculuk sırasında akışına bırakırım.",false,20
