id,form,section,test_type,subscale,type,text_en,text_tr,options_en,options_tr,reverse_scored,display_order,notes
F3_DISC_01_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Adventurous|Friendly|Harmonious|Cultured","Maceracı|Cana yakın|Uyumlu|Kültürlü",,1,
F3_DISC_01_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Adventurous|Friendly|Harmonious|Cultured","Maceracı|Cana yakın|Uyumlu|Kültürlü",,2,
F3_DISC_02_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Brave|Cheerful|Reliable|Detailed","Cesur|Neşeli|Güvenilir|Detaycı",,3,
F3_DISC_02_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Brave|Cheerful|Reliable|Detailed","Cesur|Neşeli|Güvenilir|Detaycı",,4,
F3_DISC_03_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Result-oriented|Persuasive|Peaceful|Perfectionist","Sonuç odaklı|İkna edici|Barışçıl|Mükemmeliyetçi",,5,
F3_DISC_03_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Result-oriented|Persuasive|Peaceful|Perfectionist","Sonuç odaklı|İkna edici|Barışçıl|Mükemmeliyetçi",,6,
F3_DISC_04_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Authoritative|Popular|Self-sacrificing|Sensitive","Otoriter|Popüler|Fedakâr|Hassas",,7,
F3_DISC_04_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Authoritative|Popular|Self-sacrificing|Sensitive","Otoriter|Popüler|Fedakâr|Hassas",,8,
F3_DISC_05_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Competitive|Inspiring|Tolerant|Cautious","Rekabetçi|İlham veren|Tahammüllü|Tedbirli",,9,
F3_DISC_05_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Competitive|Inspiring|Tolerant|Cautious","Rekabetçi|İlham veren|Tahammüllü|Tedbirli",,10,
F3_DISC_06_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Determined|Enthusiastic|Loyal|Meticulous","Kararlı|Hevesli|Sadık|Titiz",,11,
F3_DISC_06_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Determined|Enthusiastic|Loyal|Meticulous","Kararlı|Hevesli|Sadık|Titiz",,12,
F3_DISC_07_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Demanding|Optimistic|Patient|Rule-oriented","Talepkar|İyimser|Sabırlı|Kuralcı",,13,
F3_DISC_07_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Demanding|Optimistic|Patient|Rule-oriented","Talepkar|İyimser|Sabırlı|Kuralcı",,14,
F3_DISC_08_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Ambitious|Social|Stable|Analytical","Hırslı|Sosyal|İstikrarlı|Analitik",,15,
F3_DISC_08_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Ambitious|Social|Stable|Analytical","Hırslı|Sosyal|İstikrarlı|Analitik",,16,
F3_DISC_09_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Direct|Talkative|Supportive|Careful","Direkt|Konuşkan|Destekleyici|Dikkatli",,17,
F3_DISC_09_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Direct|Talkative|Supportive|Careful","Direkt|Konuşkan|Destekleyici|Dikkatli",,18,
F3_DISC_10_MOST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you MOST,Size EN ÇOK uyan kelimeyi seçin,"Strong|Fun|Kind|Logical","Güçlü|Eğlenceli|Nazik|Mantıklı",,19,
F3_DISC_10_LEAST,Form3_Davranis,DavranisStili,DISC,D_I_S_C,SingleChoice,Select the word that describes you LEAST,Size EN AZ uyan kelimeyi seçin,"Strong|Fun|Kind|Logical","Güçlü|Eğlenceli|Nazik|Mantıklı",,20,
F3_BELIEF_01,Form3_Davranis,DerinInanclar,BELIEFS,LocusOfControl,Likert5,I have control over most things that happen in my life,Hayatımda başıma gelenlerin kontrolü büyük ölçüde bendedir,,,,21,
F3_BELIEF_02,Form3_Davranis,DerinInanclar,BELIEFS,Schema,Likert5,No matter how hard I try I feel I will ultimately fail,Ne kadar çabalarsam çabalayayım sonunda başarısız olacağımı hissederim,,,,22,
F3_BELIEF_03,Form3_Davranis,DerinInanclar,BELIEFS,Schema,Likert5,Deep down I believe I am flawed and unworthy of love,Derinlerde bir yerde kusurlu ve sevilmeye layık olmadığıma inanırım,,,,23,
F3_BELIEF_04,Form3_Davranis,DerinInanclar,BELIEFS,LocusOfControl,Likert5,Most good things that happen to me are due to luck,Hayatta başıma gelen iyi şeylerin çoğu şans eseridir,,,,24,
F3_BELIEF_05,Form3_Davranis,DerinInanclar,BELIEFS,Schema,Likert5,I believe people will eventually disappoint or abandon me,İnsanların eninde sonunda beni hayal kırıklığına uğratacağına veya terk edeceğine inanırım,,,,25,
F3_BELIEF_06,Form3_Davranis,DerinInanclar,BELIEFS,Schema,Likert5,I fear losing others or being punished if I express my needs,Kendi ihtiyaçlarımı ifade edersem başkalarını kaybedeceğimden veya cezalandırılacağımdan korkarım,,,,26,
F3_ATTACH_01,Form3_Davranis,IliskiSablonlari,ATTACHMENT,Anxious,Likert5,I often worry that my partner will leave me,Partnerimin beni terk edeceğinden sık sık endişe duyarım,,,,27,
F3_ATTACH_02,Form3_Davranis,IliskiSablonlari,ATTACHMENT,Avoidant,Likert5,I feel uncomfortable getting emotionally close to others,Başkalarına duygusal olarak çok yakınlaşmaktan rahatsız olurum,,,,28,
F3_ATTACH_03,Form3_Davranis,IliskiSablonlari,ATTACHMENT,Anxious,Likert5,I fear my partner doesn't value me as much as I value them,Partnerimin bana değer verdiği kadar benim ona değer vermediğimden korkarım,,,,29,
F3_ATTACH_04,Form3_Davranis,IliskiSablonlari,ATTACHMENT,Avoidant,Likert5,I value my independence and self-sufficiency above everything,Bağımsızlığımı ve kendi kendime yetmeyi her şeyden önemli görürüm,,,,30,
F3_ATTACH_05,Form3_Davranis,IliskiSablonlari,ATTACHMENT,Anxious,Likert5,I get disappointed when I don't receive the closeness and attention I want from my partner,Partnerimden istediğim kadar yakınlık ve ilgi göremediğimde hayal kırıklığına uğrarım,,,,31,
F3_ATTACH_06,Form3_Davranis,IliskiSablonlari,ATTACHMENT,Avoidant,Likert5,I have difficulty trusting and relying on others,Başkalarına güvenmekte ve onlara bel bağlamakta zorlanırım,,,,32,
F3_STORY_01,Form3_Davranis,YasamAnlatisi,NARRATIVE,,OpenText,Describe a moment when you felt truly alive free and completely yourself,Hayatınızda kendinizi gerçekten canlı özgür ve tam anlamıyla kendiniz gibi hissettiğiniz bir anı veya dönemi anlatır mısınız? Bu anı bu kadar özel kılan neydi?,,,,33,
F3_STORY_02,Form3_Davranis,YasamAnlatisi,NARRATIVE,,OpenText,What three core qualities do others appreciate most in you or make you quietly proud?,Başkalarının sizde en çok takdir ettiğini söylediği veya kendinizle sessizce gurur duymanızı sağlayan üç temel özelliğiniz nedir?,,,,34,
F3_STORY_03,Form3_Davranis,YasamAnlatisi,NARRATIVE,,OpenText,If you had a magic wand what three things would you change or improve about yourself?,Eğer sihirli bir değneğiniz olsaydı kendinizde değiştirmek veya geliştirmek isteyeceğiniz üç şey ne olurdu?,,,,35,
F3_STORY_04,Form3_Davranis,YasamAnlatisi,NARRATIVE,,OpenText,Describe your happiest moments (up to three). What made them so special and joyful?,Hayatınızdaki en mutlu anlarınızı (en çok üç adet) anlatır mısınız? O anı bu kadar özel ve neşeli kılan neydi?,,,,36,
F3_STORY_05,Form3_Davranis,YasamAnlatisi,NARRATIVE,,OpenText,What are your worst memories from the past (up to three)?,Geçmişe baktığınızda hatırladığınız en kötü anılar neler (en çok üç adet)?,,,,37,
F3_STORY_06,Form3_Davranis,YasamAnlatisi,NARRATIVE,,OpenText,Describe an important regret. What would you do differently and what did you learn?,Geriye dönüp baktığınızda önemli bir pişmanlığınızı anlatın. Geri dönebilseydiniz neyi farklı yapardınız ve bu deneyimden ne öğrendiniz?,,,,38,
F3_STORY_07,Form3_Davranis,YasamAnlatisi,NARRATIVE,,OpenText,Describe an achievement or decision you're most proud of. What does it say about who you are at your best?,En çok gurur duyduğunuz bir başarıyı veya kararı anlatın. Bu an en iyi halinizdeyken kim olduğunuz hakkında ne söylüyor?,,,,39,
F3_STORY_08,Form3_Davranis,YasamAnlatisi,NARRATIVE,,OpenText,When thinking about the next chapter of your life what is your greatest hope? And your greatest fear?,Hayatınızın bir sonraki bölümünü düşünürken en büyük umudunuz nedir? Ve en büyük korkunuz nedir?,,,,40,
