id,form,section,test_type,subscale,type,text_en,text_tr,options_en,options_tr,reverse_scored,display_order,notes
F2_BIG5_01,Form2_Kisilik,Mizac,BIG_FIVE,Openness,Likert5,I am open to new ideas and experiences,Yeni fikirlere ve deneyimlere açığımdır,,,,1,
F2_BIG5_02,Form2_Kisilik,Mizac,BIG_FIVE,Conscientiousness,Likert5,I pay attention to details and am organized,Detaylara dikkat eder planlı ve organize biriyimdir,,,,2,
F2_BIG5_03,Form2_Kisilik,Mizac,BIG_FIVE,Extraversion,Likert5,I am energetic and talkative in social settings,Sosyal ortamlarda enerjik ve konuşkanımdır,,,,3,
F2_BIG5_04,Form2_Kisilik,Mizac,BIG_FIVE,Agreeableness,Likert5,I am generally sensitive and helpful to others' feelings,Genellikle başkalarının duygularına karşı duyarlı ve yardımseverimdir,,,,4,
F2_BIG5_05,Form2_Kisilik,Mizac,BIG_FIVE,Neuroticism,Likert5,I easily worry or get stressed,Kolayca endişelenir veya strese girerim,,,,5,
F2_BIG5_06,Form2_Kisilik,Mizac,BIG_FIVE,Openness,Likert5,I prefer traditional and conventional methods,Geleneksel ve alışılmış yöntemleri tercih ederim,,,true,6,
F2_BIG5_07,Form2_Kisilik,Mizac,BIG_FIVE,Conscientiousness,Likert5,I often procrastinate and work in a disorganized manner,İşlerimi sık sık erteler dağınık çalışırım,,,true,7,
F2_BIG5_08,Form2_Kisilik,Mizac,BIG_FIVE,Extraversion,Likert5,I feel exhausted after crowded social settings,Kalabalık sosyal ortamlardan sonra kendimi tükenmiş hissederim,,,true,8,
F2_BIG5_09,Form2_Kisilik,Mizac,BIG_FIVE,Agreeableness,Likert5,I tend to prioritize my own interests over others,Kendi çıkarlarımı başkalarınınkinden önde tutmaya eğilimliyimdir,,,true,9,
F2_BIG5_10,Form2_Kisilik,Mizac,BIG_FIVE,Neuroticism,Likert5,I am generally calm and emotionally balanced,Genellikle sakin ve duygusal olarak dengeliyimdir,,,true,10,
