id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S1_BF_E1,S1_self,BigFive,E,Sosyal ortamlarda enerji toplarım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_E2,S1_self,BigFive,E,Yeni insanlarla tanışmak beni heyecanlandırır.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_E3,S1_self,BigFive,E,Kalabalık etkinlikler beni yorar.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",1,,1,
S1_BF_E4,S1_self,BigFive,E,Topluluk önünde konuşmaktan keyif alırım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_A1,S1_self,BigFive,A,İnsanların bakış açısını anlamaya çalışırım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_A2,S1_self,BigFive,A,Anlaşmazlıklarda empati kurarım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_A3,S1_self,BigFive,A,Eleştirirken sözlerimi özenle seçerim.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_A4,S1_self,BigFive,A,Kendi ihtiyaçlarımı her zaman öne koyarım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",1,,1,
S1_BF_C1,S1_self,BigFive,C,Planları önceden yapar ve takip ederim.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_C2,S1_self,BigFive,C,Detayları gözden kaçırmam.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_C3,S1_self,BigFive,C,Son dakika işleri severim.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",1,,1,
S1_BF_C4,S1_self,BigFive,C,Söz verdiğim işi vaktinde bitiririm.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_N1,S1_self,BigFive,N,Stresliyken kolayca gerginleşirim.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_N2,S1_self,BigFive,N,Eleştirilere karşı hassasım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_N3,S1_self,BigFive,N,Zor durumda soğukkanlı kalırım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",1,,1,
S1_BF_N4,S1_self,BigFive,N,Gelecek hakkında sık endişe duyarım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_O1,S1_self,BigFive,O,Yeni fikir ve deneyimlere açığım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_O2,S1_self,BigFive,O,Rutini kırmayı severim.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_BF_O3,S1_self,BigFive,O,Alışılmış yöntemler dışına çıkmam.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",1,,1,
S1_BF_O4,S1_self,BigFive,O,Sanat/yaratıcılık içeren şeylerden keyif alırım.,Likert5,"Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum",0,,1,
S1_MB_FC1,S1_self,MBTI,EI,"A) Kalabalıkta enerji toplarım  |  B) Yalnız kalarak şarj olurum",ForcedChoice2,"A|B",0,"{\\"A\":\"EI:E\",\"B\":\"EI:I"}"",1,"Ipsatif (sosyal beğenirlik azaltma)"
S1_MB_FC2,S1_self,MBTI,EI,"A) Yeni insanlarla hızla bağ kurarım  |  B) Önce gözlemler sonra açılırım",ForcedChoice2,"A|B",0,"{\\"A\":\"EI:E\",\"B\":\"EI:I"}"",1,
S1_MB_FC3,S1_self,MBTI,EI,"A) Yüksek sesli ve hareketli ortamlar beni canlandırır  |  B) Sessiz ve sakin ortamları tercih ederim",ForcedChoice2,"A|B",0,"{\\"A\":\"EI:E\",\"B\":\"EI:I"}"",1,
S1_MB_FC4,S1_self,MBTI,SN,"A) Gerçekler ve kanıtlar  |  B) Fikirler ve olasılıklar beni daha çok cezbeder",ForcedChoice2,"A|B",0,"{\\"A\":\"SN:S\",\"B\":\"SN:N"}"",1,
S1_MB_FC5,S1_self,MBTI,SN,"A) Detaylara odaklanırım  |  B) Büyük resmi görmeyi tercih ederim",ForcedChoice2,"A|B",0,"{\\"A\":\"SN:S\",\"B\":\"SN:N"}"",1,
S1_MB_FC6,S1_self,MBTI,SN,"A) Mevcut duruma dayanırım  |  B) Gelecekteki potansiyeli merak ederim",ForcedChoice2,"A|B",0,"{\\"A\":\"SN:S\",\"B\":\"SN:N"}"",1,
S1_MB_FC7,S1_self,MBTI,TF,"A) Kararda tutarlılık ve mantık  |  B) Etki ve duygular önceliklidir",ForcedChoice2,"A|B",0,"{\\"A\":\"TF:T\",\"B\":\"TF:F"}"",1,
S1_MB_FC8,S1_self,MBTI,TF,"A) Doğrudan geri bildirim veririm  |  B) İncitmemek için dili yumuşatırım",ForcedChoice2,"A|B",0,"{\\"A\":\"TF:T\",\"B\":\"TF:F"}"",1,
S1_MB_FC9,S1_self,MBTI,TF,"A) Adalet ve ilke  |  B) İlişki ve uyum önce gelir",ForcedChoice2,"A|B",0,"{\\"A\":\"TF:T\",\"B\":\"TF:F"}"",1,
S1_MB_FC10,S1_self,MBTI,JP,"A) Plan ve takvim isterim  |  B) Esnek kalmayı severim",ForcedChoice2,"A|B",0,"{\\"A\":\"JP:J\",\"B\":\"JP:P"}"",1,
S1_MB_FC11,S1_self,MBTI,JP,"A) Kararı hızlıca kapatırım  |  B) Seçenekleri bir süre açık tutarım",ForcedChoice2,"A|B",0,"{\\"A\":\"JP:J\",\"B\":\"JP:P"}"",1,
