id,form,section,test_type,subscale,type,text_en,text_tr,options_en,options_tr,reverse_scored,display_order,notes
F1_AGE,Form1_Tanisalim,Demografik,DEMOGRAPHIC,,Number,Your age,Yaşınız,,,,1,
F1_GENDER,Form1_Tanisalim,Demografik,DEMOGRAPHIC,,SingleChoice,Your gender,Cinsiyetiniz,"Male|Female|Prefer not to say|Other","Erkek|Kadın|Belirtmek İstemiyorum|Diğer",,2,
F1_RELATIONSHIP,Form1_Tanisalim,Demografik,DEMOGRAPHIC,,SingleChoice,Relationship status,İlişki Durumunuz,"Single|In a relationship|Married|Divorced|Other","Bekâr|İlişkisi var|Evli|Boşanmış|Diğer",,3,
F1_EDUCATION,Form1_Tanisalim,Demografik,DEMOGRAPHIC,,SingleChoice,Highest education level,En Yüksek Eğitim Seviyeniz,"Primary|High School|University|Master's|PhD","İlköğretim|Lise|Üniversite|Yüksek Lisans|Doktora",,4,
F1_OCCUPATION,Form1_Tanisalim,Demografik,DEMOGRAPHIC,,OpenText,Your occupation/work status,Mesleğiniz / Çalışma Durumunuz,,,,5,
F1_LIFE_SATISFACTION,Form1_Tanisalim,HayataBakis,LIFE_VIEW,,Scale10,How satisfied are you with your life in general? (1-10),Genel olarak hayatınızdan ne kadar memnunsunuz? (1: Hiç memnun değilim - 10: Son derece memnunum),,,,6,
F1_STRESS_LEVEL,Form1_Tanisalim,HayataBakis,LIFE_VIEW,,Scale10,How would you describe your current stress level? (1-10),Şu anki stres seviyenizi nasıl tanımlarsınız? (1: Neredeyse hiç stres yok - 10: Aşırı stresli),,,,7,
F1_FOCUS_AREAS,Form1_Tanisalim,HayataBakis,LIFE_VIEW,,MultiSelect3,What are your main focus areas in life right now? (Select up to 3),Şu anda hayatınızdaki temel odak alanlarınız hangileri? (En fazla 3 tane seçin),"Career/Work|Family|Romantic Relationship|Friends/Social Life|Personal Development|Physical Health|Mental Health|Financial Status|Hobbies","Kariyer/İş|Aile|Romantik İlişki|Arkadaşlar/Sosyal Hayat|Kişisel Gelişim|Fiziksel Sağlık|Ruhsal Sağlık|Finansal Durum|Hobiler",,8,
F1_BIGGEST_CHALLENGE,Form1_Tanisalim,HayataBakis,LIFE_VIEW,,OpenText,What is the biggest challenge you're facing right now?,Şu anda karşılaştığınız en büyük zorluk nedir?,,,,9,
F1_YEARLY_GOAL,Form1_Tanisalim,HayataBakis,LIFE_VIEW,,OpenText,What is your most important goal for the next year?,Önümüzdeki bir yıl içinde ulaşmak istediğiniz en önemli hedef nedir?,,,,10,
F1_SLEEP_QUALITY,Form1_Tanisalim,EnerjiAliskanlik,ENERGY_HABITS,,Scale10,How would you rate your sleep quality? (1-10),Genel olarak uyku kalitenizi nasıl puanlarsınız? (1: Çok Kötü - 10: Mükemmel),,,,11,
F1_PHYSICAL_ACTIVITY,Form1_Tanisalim,EnerjiAliskanlik,ENERGY_HABITS,,SingleChoice,What is your weekly physical activity level?,Haftalık fiziksel aktivite seviyeniz nedir?,"Sedentary|Low (1-2 days light exercise)|Medium (3-4 days)|High (5+ days)","Hareketsiz|Düşük (Haftada 1-2 gün hafif egzersiz)|Orta (Haftada 3-4 gün)|Yüksek (Haftada 5+ gün)",,12,
F1_ENERGY_LEVEL,Form1_Tanisalim,EnerjiAliskanlik,ENERGY_HABITS,,Scale10,How would you rate your general energy level during the day? (1-10),Gün içindeki genel enerji seviyenizi nasıl puanlarsınız? (1: Çok Düşük - 10: Çok Yüksek),,,,13,
