id,form,section,subscale,text_tr,type,options_tr,reverse_scored,scoring_key,weight,notes
S2R_mother_E1,S2R_mother,BigFive,E,[AD] sosyal ortamlarda sohbeti başlatır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S2R_mother_A1,S2R_mother,BigFive,A,[AD] anlaşmazlıkta önce karşı tarafı anlamaya çalışır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S2R_mother_C1,S2R_mother,BigFive,C,[AD] verdiği sözleri zamanında tutar.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S2R_mother_N1,S2R_mother,BigFive,N,[AD] stresli durumlarda kolayca gerilir.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S2R_mother_O1,S2R_mother,BigFive,O,[AD] yeni fikir ve deneyimlere açıktır.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S2R_mother_E2,S2R_mother,BigFive,E,[AD] kalabalıkta geri planda kalmayı seçer.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S2R_mother_EI1,S2R_mother,MBTI,EI,[AD] uzun günün sonunda insanlarla vakit geçirerek toparlar.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S2R_mother_EI2,S2R_mother,MBTI,EI,[AD] yalnız kalarak daha iyi toparlar.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
S2R_mother_SN1,S2R_mother,MBTI,SN,[AD] somut veriler ve kanıtlarla konuşmayı tercih eder.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,0,,1.0,
S2R_mother_SN2,S2R_mother,MBTI,SN,[AD] olasılıklar/gelecek senaryolarını tartışmayı sever.,Likert5,Kesinlikle Katılmıyorum|Katılmıyorum|Kararsızım|Katılıyorum|Kesinlikle Katılıyorum,1,,1.0,
